source,business_id,place_id,name,channel,business_category,latitude,longitude,address,distance_from_plant_km,nearest_plant,plant_region,rating,user_ratings_total,price_level,business_status,estimated_monthly_water_liters,estimated_monthly_water_revenue,priority_score,water_priority,is_wholesaler,is_chain
Google Places,GOOGLE_ChIJAW3ByuYBrzsRu8CyVsfNTOY,ChIJAW3ByuYBrzsRu8CyVsfNTOY,Pradanamantri Bharathiya Jan Aushadhi Kendra Mallegowda Complex H m Circle,store,Retail,12.4094619,77.13014009999999,"MalleGowda Complex, Hadli",38.25,Ramanagara Plant,Ramanagara-Kanakapura Region,0.0,0,,OPERATIONAL,1500,22500,8.0,8,No,No
Google Places,GOOGLE_ChIJ9_7tOtsBrzsRH84pKrXz8GI,ChIJ9_7tOtsBrzsRH84pKrXz8GI,Millsmitra millet health mix,store,Retail,12.4082382,77.12938179999999,"273, CHAMUNDESHWARI TEMPLE ROAD, KASABA HOBLI, Hadli",38.41,Ramanagara Plant,Ramanagara-Kanakapura Region,5.0,1,,OPERATIONAL,1500,22500,9.0,8,No,No
Google Places,GOOGLE_ChIJdy2pKzoDrzsRmBn8r_Zslv4,ChIJdy2pKzoDrzsRmBn8r_Zslv4,JASMITHA BEKARY AND CONDIMENTS Mr BASAVARAJU,store,Retail,12.4029144,77.1355147,"SHOP NUMBER 1316 B M ROAD, CIRCLE, Hadli",38.68,Ramanagara Plant,Ramanagara-Kanakapura Region,5.0,1,,CLOSED_TEMPORARILY,1500,22500,9.0,8,No,No
Google Places,GOOGLE_ChIJp_GJKt8DrzsRzGdfU87702g,ChIJp_GJKt8DrzsRzGdfU87702g,SREE ADISHAKTHI ELECTRICALS & HARDWARE,store,Retail,12.4014377,77.1310632,India,39.02,Ramanagara Plant,Ramanagara-Kanakapura Region,0.0,0,,CLOSED_TEMPORARILY,1500,22500,8.0,8,No,No
Google Places,GOOGLE_ChIJW9oz4VEDrzsRqxBzHxUyPq4,ChIJW9oz4VEDrzsRqxBzHxUyPq4,SIDDAPPAJI WOOD WORKS SIDDAPPAJIGRSORACHAC,store,Retail,12.4007451,77.13135489999999,"SHOP NUMBER 5132 B M ROAD, CIRCLE, Hadli",39.08,Ramanagara Plant,Ramanagara-Kanakapura Region,0.0,0,,OPERATIONAL,1500,22500,8.0,8,No,No
Google Places,GOOGLE_ChIJkfq3dQABrzsRYAipBQrthwo,ChIJkfq3dQABrzsRYAipBQrthwo,A b d home,store,Retail,12.4282134,77.1283867,"C4HH+79J, Agasanapura",36.46,Ramanagara Plant,Ramanagara-Kanakapura Region,0.0,0,,CLOSED_TEMPORARILY,1500,22500,8.0,8,No,No
Google Places,GOOGLE_ChIJFzMSM9kDrzsRA0mNS3Zlnvs,ChIJFzMSM9kDrzsRA0mNS3Zlnvs,Sri Byraveshawara MEDICALS & CLINIC,store,Retail,12.4004425,77.1313826,India,39.11,Ramanagara Plant,Ramanagara-Kanakapura Region,5.0,1,,OPERATIONAL,1500,22500,9.0,8,No,No
Google Places,GOOGLE_ChIJi7lLFgADrzsRbhAkY1JURH0,ChIJi7lLFgADrzsRbhAkY1JURH0,CHANDAN MEDICAL'S AND CLINIC,store,Retail,12.4003701,77.13136779999999,"C42J+4GX, Gowdagere",39.12,Ramanagara Plant,Ramanagara-Kanakapura Region,5.0,7,,OPERATIONAL,1500,22500,9.0,8,No,No
Google Places,GOOGLE_ChIJPSszIfMDrzsRnbm5uf0hNQY,ChIJPSszIfMDrzsRnbm5uf0hNQY,Shree Siddeshwara General Store,store,Retail,12.4003505,77.1313686,"C42J+4GX, Thuraganur",39.12,Ramanagara Plant,Ramanagara-Kanakapura Region,0.0,0,,OPERATIONAL,1500,22500,8.0,8,No,No
Google Places,GOOGLE_ChIJP9MLNNkDrzsRlshwW1Zi9Nk,ChIJP9MLNNkDrzsRlshwW1Zi9Nk,MADHU FOOTWEAR,store,Retail,12.4003332,77.13154890000001,India,39.11,Ramanagara Plant,Ramanagara-Kanakapura Region,0.0,0,,CLOSED_TEMPORARILY,1500,22500,8.0,8,No,No
Google Places,GOOGLE_ChIJZ88WNNkDrzsRrVm5kkmTQ3E,ChIJZ88WNNkDrzsRrVm5kkmTQ3E,SRIBHAIRAVESHWARA TYRE,store,Retail,12.4002764,77.1315582,India,39.12,Ramanagara Plant,Ramanagara-Kanakapura Region,0.0,0,,CLOSED_TEMPORARILY,1500,22500,8.0,8,No,No
Google Places,GOOGLE_ChIJwdvv1wkDrzsRbk5p563MyTw,ChIJwdvv1wkDrzsRbk5p563MyTw,Sri Maruti Ganral Store,store,Retail,12.4001496,77.1315718,"Sri Maruti Ganral Store Kanakapura To Malavalli, Main Road, Hadli",39.13,Ramanagara Plant,Ramanagara-Kanakapura Region,5.0,35,,OPERATIONAL,1500,22500,9.0,8,No,No
Google Places,GOOGLE_ChIJGUERNtkDrzsRH18M4heSHzQ,ChIJGUERNtkDrzsRH18M4heSHzQ,Sri Siddeshwara Medicals,store,Retail,12.4000658,77.1316678,"Hadli, Mandya, NH-209, Malavalli Kanakapura Road, Malavalli, Malavalli",39.13,Ramanagara Plant,Ramanagara-Kanakapura Region,5.0,1,,OPERATIONAL,1500,22500,9.0,8,No,No
Google Places,GOOGLE_ChIJ_3-Fyd4DrzsRBvwF8XNpFoc,ChIJ_3-Fyd4DrzsRBvwF8XNpFoc,ಪ್ರಧಾನ ಮಂತ್ರಿ ಭಾರತೀಯ ಜನ ಔಷಧಿ ಕೇಂದ್ರ,store,Retail,12.4000924,77.1308653,India,39.17,Ramanagara Plant,Ramanagara-Kanakapura Region,0.0,0,,OPERATIONAL,1500,22500,8.0,8,No,No
Google Places,GOOGLE_ChIJdbAlNtkDrzsRHTf0sDO-POs,ChIJdbAlNtkDrzsRHTf0sDO-POs,ಫ್ರೆಂಡ್ಸ್ ಫ್ಯಾಷನ್,store,Retail,12.4000327,77.13174459999999,India,39.13,Ramanagara Plant,Ramanagara-Kanakapura Region,0.0,0,,CLOSED_TEMPORARILY,1500,22500,8.0,8,No,No
Google Places,GOOGLE_ChIJVSovNtkDrzsRMhuvT7S7Nds,ChIJVSovNtkDrzsRMhuvT7S7Nds,MAHADESHWARA MEDICALS,store,Retail,12.4000265,77.1317636,India,39.13,Ramanagara Plant,Ramanagara-Kanakapura Region,0.0,0,,OPERATIONAL,1500,22500,8.0,8,No,No
Google Places,GOOGLE_ChIJLzWJl64DrzsRd68JKCmuEck,ChIJLzWJl64DrzsRd68JKCmuEck,M M traders,store,Retail,12.3999585,77.1321717,"Mallvali, Bangalore Main Road, Hadli",39.12,Ramanagara Plant,Ramanagara-Kanakapura Region,5.0,11,,OPERATIONAL,1500,22500,9.0,8,Yes,No
Google Places,GOOGLE_ChIJq1ZRXioDrzsR87FhDowcahc,ChIJq1ZRXioDrzsR87FhDowcahc,KUMARA SHOP,store,Retail,12.3998973,77.1315712,"Shop No 467, Malavalli - Kanakapura Road, Mandya",39.16,Ramanagara Plant,Ramanagara-Kanakapura Region,0.0,0,,CLOSED_TEMPORARILY,1500,22500,8.0,8,No,No
Google Places,GOOGLE_ChIJ941RSbwDrzsRJ-nllW8YiRc,ChIJ941RSbwDrzsRJ-nllW8YiRc,Mayura Baker hadli,store,Retail,12.3999349,77.13340219999999,"Malavalli - Kanakapura Road, Hadli",39.07,Ramanagara Plant,Ramanagara-Kanakapura Region,4.0,34,,OPERATIONAL,1500,22500,8.5,8,No,No
Google Places,GOOGLE_ChIJYfdwcxQDrzsRxHHLactD_os,ChIJYfdwcxQDrzsRxHHLactD_os,JEEVIKA PUNSAR STORE,store,Retail,12.3998472,77.13219579999999,"SHOP BILLDING 456, HARDLY CIRCLE, HARDLY CIRCLE HALAGUR RODE MALVALLI, Malavalli - Kanakapura Road",39.13,Ramanagara Plant,Ramanagara-Kanakapura Region,0.0,0,,CLOSED_TEMPORARILY,1500,22500,8.0,8,No,No
Google Places,GOOGLE_ChIJt22sS9kDrzsRCm022s8BIXc,ChIJt22sS9kDrzsRCm022s8BIXc,MADEGOWDA GENERAL STORE,store,Retail,12.3997985,77.1314642,India,39.17,Ramanagara Plant,Ramanagara-Kanakapura Region,0.0,0,,CLOSED_TEMPORARILY,1500,22500,8.0,8,No,No
Google Places,GOOGLE_ChIJh210Y8EDrzsRupQekdq6qRw,ChIJh210Y8EDrzsRupQekdq6qRw,Shivamogga,store,Retail,12.3998477,77.1303133,"94XJ+W3Q, Malavalli - Kanakapura Road",39.22,Ramanagara Plant,Ramanagara-Kanakapura Region,5.0,2,,OPERATIONAL,1500,22500,9.0,8,No,No
Google Places,GOOGLE_ChIJsz2st94DrzsRfjRa8uyCg-8,ChIJsz2st94DrzsRfjRa8uyCg-8,RAMDEV ELECTRICAL & HARDWARE,store,Retail,12.3998055,77.1307005,India,39.2,Ramanagara Plant,Ramanagara-Kanakapura Region,5.0,1,,CLOSED_TEMPORARILY,1500,22500,9.0,8,No,No
Google Places,GOOGLE_ChIJY7GTr_UDrzsR9CHmvIAUUQY,ChIJY7GTr_UDrzsR9CHmvIAUUQY,SLV traders,store,Retail,12.3997378,77.1308696,"94XJ+V8X, Hadli",39.2,Ramanagara Plant,Ramanagara-Kanakapura Region,5.0,2,,OPERATIONAL,1500,22500,9.0,8,Yes,No
Google Places,GOOGLE_ChIJHxBQSdkDrzsROulYCyigtgE,ChIJHxBQSdkDrzsROulYCyigtgE,Nandini Medicals,store,Retail,12.399689,77.13166,"Hadli, Mandya, NH-209, Malavalli Kanakapura Road, Malavalli, Malavalli",39.17,Ramanagara Plant,Ramanagara-Kanakapura Region,0.0,0,,OPERATIONAL,1500,22500,8.0,8,No,No
Google Places,GOOGLE_ChIJI-yAr_kDrzsRuuI2OjwGVsc,ChIJI-yAr_kDrzsRuuI2OjwGVsc,Nakva traders,store,Retail,12.3997065,77.1308698,"Circle, Malavalli - Kanakapura Road, Kasaba Hobli, Hadli",39.21,Ramanagara Plant,Ramanagara-Kanakapura Region,5.0,4,,CLOSED_TEMPORARILY,1500,22500,9.0,8,Yes,No
Google Places,GOOGLE_ChIJO-RLMEYDrzsRM5vVLvVBw6A,ChIJO-RLMEYDrzsRM5vVLvVBw6A,Mathrushree hardware prakash,store,Retail,12.3998668,77.1293828,"94XJ+W3Q, Malavalli - Kanakapura Road, Gowdagere",39.26,Ramanagara Plant,Ramanagara-Kanakapura Region,5.0,1,,OPERATIONAL,1500,22500,9.0,8,No,No
Google Places,GOOGLE_ChIJkWQvRQADrzsRtUQOMUl2e-g,ChIJkWQvRQADrzsRtUQOMUl2e-g,Jewellery shop,store,Retail,12.3996545,77.13187719999999,"circle, Hadli",39.17,Ramanagara Plant,Ramanagara-Kanakapura Region,0.0,0,,OPERATIONAL,1500,22500,8.0,8,No,No
Google Places,GOOGLE_ChIJF2rx0MEDrzsRMM04FR_RSuk,ChIJF2rx0MEDrzsRMM04FR_RSuk,Sri girish general store,store,Retail,12.399621,77.131433,"road, Megalapura, Hadli",39.19,Ramanagara Plant,Ramanagara-Kanakapura Region,5.0,1,,OPERATIONAL,1500,22500,9.0,8,No,No
Google Places,GOOGLE_ChIJIZyUMQADrzsR4MfgAWKMQMM,ChIJIZyUMQADrzsR4MfgAWKMQMM,ಜಶ್ಮಿತಾ ಕಾಂಡಿಮೆಂಟ್ಸ್,store,Retail,12.3996496,77.13306990000001,"94XM+V65, Gowdagere",39.11,Ramanagara Plant,Ramanagara-Kanakapura Region,0.0,0,,CLOSED_TEMPORARILY,1500,22500,8.0,8,No,No
Google Places,GOOGLE_ChIJ3SDvKQADrzsR2r8qNQDlk4I,ChIJ3SDvKQADrzsR2r8qNQDlk4I,ಸುಶ್ಮಿತಾ ಕಾಂಡಿಮೆಂಟ್ಸ್,store,Retail,12.3996494,77.1330857,"94XM+V65, Gowdagere",39.11,Ramanagara Plant,Ramanagara-Kanakapura Region,0.0,0,,CLOSED_TEMPORARILY,1500,22500,8.0,8,No,No
Google Places,GOOGLE_ChIJi5kiwRwDrzsR7TVo2fm5T2Q,ChIJi5kiwRwDrzsR7TVo2fm5T2Q,Prashant Electricals Hardly,store,Retail,12.3995685,77.1342822,"circle, Hadli",39.07,Ramanagara Plant,Ramanagara-Kanakapura Region,3.0,2,,OPERATIONAL,1500,22500,8.0,8,No,No
Google Places,GOOGLE_ChIJ4XBUVAADrzsR5CtSoVUn_98,ChIJ4XBUVAADrzsR5CtSoVUn_98,Hm circle bazar,store,Retail,12.3991485,77.131941,"94XJ+MQ4, Hadli",39.22,Ramanagara Plant,Ramanagara-Kanakapura Region,0.0,0,,CLOSED_TEMPORARILY,1500,22500,8.0,8,No,No
Google Places,GOOGLE_ChIJyyYhVgADrzsRioFH1gfRduE,ChIJyyYhVgADrzsRioFH1gfRduE,Shree Venkateshwara Bakery,store,Retail,12.3989536,77.1319796,"94XJ+HQ2, Jattipalla - Kanakapura Road, Gowdagere",39.23,Ramanagara Plant,Ramanagara-Kanakapura Region,0.0,0,,OPERATIONAL,1500,22500,8.0,8,No,No
Google Places,GOOGLE_ChIJ0cKCKNcDrzsR2bO45Xi1UXs,ChIJ0cKCKNcDrzsR2bO45Xi1UXs,PARINITHA CAKE PALACE,store,Retail,12.3996725,77.1396681,India,38.83,Ramanagara Plant,Ramanagara-Kanakapura Region,4.2,6,,OPERATIONAL,1500,22500,8.5,8,No,No
Google Places,GOOGLE_ChIJ9aC4cSMDrzsRDjGzvLWf20E,ChIJ9aC4cSMDrzsRDjGzvLWf20E,ಶ್ರೀ ಬಸವೇಶ್ವರ ಸೌಂಡ್ ಮತ್ತು ಲೈಟಿಂಗ್ ಬಸವನಪುರ,store,Retail,12.4003567,77.1413244,"Basavanapura(v) NG Doddi(p) Halagur Hobali, T) Mandya (D, Malavalli",38.69,Ramanagara Plant,Ramanagara-Kanakapura Region,4.0,4,,CLOSED_TEMPORARILY,1500,22500,8.5,8,No,No
Google Places,GOOGLE_ChIJV83tKv4DrzsRqQ1gBfgbhFw,ChIJV83tKv4DrzsRqQ1gBfgbhFw,ಜೈ ಮಾರುತಿ ಕಾಂಡಿಮೆಂಟ್ಸ್,store,Retail,12.4001599,77.142012,"94XR+JQV, Nadakalapura",38.68,Ramanagara Plant,Ramanagara-Kanakapura Region,5.0,1,,OPERATIONAL,1500,22500,9.0,8,No,No
Google Places,GOOGLE_ChIJvw9sQwABrzsRTNnRVG1uPvI,ChIJvw9sQwABrzsRTNnRVG1uPvI,Ningamma general Store,store,Retail,12.4288889,77.1491708,"C4HX+HM3, Hullahalli",35.43,Ramanagara Plant,Ramanagara-Kanakapura Region,5.0,2,,OPERATIONAL,1500,22500,9.0,8,No,No
Google Places,GOOGLE_ChIJ1XY5cNYBrzsRs5h3iFYZyqI,ChIJ1XY5cNYBrzsRs5h3iFYZyqI,Mahadeshwara general store& Flour mill,store,Retail,12.4308773,77.1485787,Hullahalli,35.26,Ramanagara Plant,Ramanagara-Kanakapura Region,4.7,3,,OPERATIONAL,1500,22500,9.0,8,No,No
Google Places,GOOGLE_ChIJmUhq7DYBrzsR53L574z_9Uk,ChIJmUhq7DYBrzsR53L574z_9Uk,Pan Shop,store,Retail,12.429409,77.109922,"C4H5+QX7, Kembuthagere",37.29,Ramanagara Plant,Ramanagara-Kanakapura Region,4.2,17,,OPERATIONAL,1500,22500,8.5,8,No,No
Google Places,GOOGLE_ChIJNchUk1kDrzsRtJMLmaqnz7c,ChIJNchUk1kDrzsRtJMLmaqnz7c,ANIL PAINTS & H/W,store,Retail,12.4014039,77.1556226,"Malavalli - Kanakapura Road, Hadli",38.0,Ramanagara Plant,Ramanagara-Kanakapura Region,5.0,1,,OPERATIONAL,1500,22500,9.0,8,No,No
Google Places,GOOGLE_ChIJsdQwDp8DrzsRthuiS6goJLE,ChIJsdQwDp8DrzsRthuiS6goJLE,A K S Puncture Shop,store,Retail,12.4017688,77.15798869999999,"shop B, A K S engineering works, Halsahalli, M road, Malavalli",37.87,Ramanagara Plant,Ramanagara-Kanakapura Region,3.0,2,,CLOSED_TEMPORARILY,1500,22500,8.0,8,No,No
Google Places,GOOGLE_ChIJt9xegigCrzsRieUrL2vSXwM,ChIJt9xegigCrzsRieUrL2vSXwM,MATHRUSHREE BAKERY,store,Retail,12.4022419,77.1599123,India,37.75,Ramanagara Plant,Ramanagara-Kanakapura Region,5.0,2,,OPERATIONAL,1500,22500,9.0,8,No,No
Google Places,GOOGLE_ChIJlW8jPwABrzsRSOa0QqI4NUQ,ChIJlW8jPwABrzsRSOa0QqI4NUQ,Shree banduru sheep farm,store,Retail,12.4498746,77.1231299,"C4XF+W7R, Maddur",34.61,Ramanagara Plant,Ramanagara-Kanakapura Region,0.0,0,,OPERATIONAL,1500,22500,8.0,8,No,No
Google Places,GOOGLE_ChIJb666ODoCrzsRh_om9tXFCAU,ChIJb666ODoCrzsRh_om9tXFCAU,Super Bazzar,store,Retail,12.3900323,77.1616815,"95R6+2M7, Halasahalli",38.96,Ramanagara Plant,Ramanagara-Kanakapura Region,4.0,16,,OPERATIONAL,1500,22500,8.5,8,No,No
Google Places,GOOGLE_ChIJXQ9QUQADrzsRxRW9SBPccfg,ChIJXQ9QUQADrzsRxRW9SBPccfg,Sri Vinayaka general Store,store,Retail,12.3899682,77.1616767,"95R6+2M7, Halasahalli",38.97,Ramanagara Plant,Ramanagara-Kanakapura Region,1.0,1,,OPERATIONAL,1500,22500,8.0,8,No,No
Google Places,GOOGLE_ChIJm9cC9AABrzsRczEoYsl42q0,ChIJm9cC9AABrzsRczEoYsl42q0,Lokesh Angadi ಲೋಕೇಶ್ ಅಂಗಡಿ,store,Retail,12.4521634,77.1231305,"F42F+V76, Unnamed Road, Gowdagere",34.39,Ramanagara Plant,Ramanagara-Kanakapura Region,4.0,4,,OPERATIONAL,1500,22500,8.5,8,No,No
Google Places,GOOGLE_ChIJdehIwvgDrzsRaSKv5h_BzVg,ChIJdehIwvgDrzsRaSKv5h_BzVg,Shanvi Provision Store D Halasahalli,store,Retail,12.3903066,77.1630838,"95R7+664, Halasahalli",38.89,Ramanagara Plant,Ramanagara-Kanakapura Region,5.0,3,,OPERATIONAL,1500,22500,9.0,8,No,No
Google Places,GOOGLE_ChIJ2WJwGjEBrzsRfmYEmopH388,ChIJ2WJwGjEBrzsRfmYEmopH388,H M TOP SELECTION MOHAMMED ISRAR,store,Retail,12.4528149,77.1224828,"SHOP NUMBER 85, BUILDING 7, near to CHANDUPURA, KM Doddi Road, Chandupura",34.36,Ramanagara Plant,Ramanagara-Kanakapura Region,0.0,0,,CLOSED_TEMPORARILY,1500,22500,8.0,8,No,No
Google Places,GOOGLE_ChIJOZ0SdcsBrzsRFw5Ge-P87E8,ChIJOZ0SdcsBrzsRFw5Ge-P87E8,ಮಹೇಶ್ ಅಂಗಡಿ,store,Retail,12.4390128,77.1669594,"C5Q8+JQ4, Antaravally",33.66,Ramanagara Plant,Ramanagara-Kanakapura Region,4.0,1,,CLOSED_TEMPORARILY,1500,22500,8.5,8,No,No
Google Places,GOOGLE_ChIJoxpSGxcBrzsRrBOpELnK-Jg,ChIJoxpSGxcBrzsRrBOpELnK-Jg,MAHESHA GENERAL STORE,store,Retail,12.4510535,77.10950299999999,"Shop No 35, H Hosuru, Doddarasinakere",35.25,Ramanagara Plant,Ramanagara-Kanakapura Region,2.0,1,,CLOSED_TEMPORARILY,1500,22500,8.0,8,No,No
Google Places,GOOGLE_ChIJKfDyyd4DrzsRI_XVCF7uE94,ChIJKfDyyd4DrzsRI_XVCF7uE94,ಗೀತಾ ಬ್ಯಾಂಗಲ್ಸ್ & ಬ್ಯೂಟಿಪಾರ್ಲರ್,beauty_salon,Services,12.4000401,77.1308619,India,39.17,Ramanagara Plant,Ramanagara-Kanakapura Region,0.0,0,,CLOSED_TEMPORARILY,1500,22500,7.0,7,No,No
Google Places,GOOGLE_ChIJ-yd-HAABrzsR_wVPRy0W7R4,ChIJ-yd-HAABrzsR_wVPRy0W7R4,Girish Gini,beauty_salon,Services,12.4528089,77.14145169999999,Malavalli,33.38,Ramanagara Plant,Ramanagara-Kanakapura Region,0.0,0,,CLOSED_TEMPORARILY,1500,22500,7.0,7,No,No
Google Places,GOOGLE_ChIJ_ydfR9kDrzsRB36eof-QeKE,ChIJ_ydfR9kDrzsRB36eof-QeKE,Surabhi Family Restaurant Dhaba,restaurant,HoReCa,12.4000537,77.1321846,"Hadli, Mandya, NH-209, Malavalli Kanakapura Road, Malavalli, Malavalli",39.11,Ramanagara Plant,Ramanagara-Kanakapura Region,3.9,105,,OPERATIONAL,3000,45000,9.4,9,No,No
Google Places,GOOGLE_ChIJo49zR9kDrzsRxuUcDuofFig,ChIJo49zR9kDrzsRxuUcDuofFig,PORNA Chicken,restaurant,HoReCa,12.3999503,77.1321823,India,39.12,Ramanagara Plant,Ramanagara-Kanakapura Region,0.0,0,,CLOSED_TEMPORARILY,3000,45000,9.0,9,No,No
Google Places,GOOGLE_ChIJUyua0rMDrzsRNy_M2yf75hs,ChIJUyua0rMDrzsRNy_M2yf75hs,SLV NON VEG HOTEL,restaurant,HoReCa,12.3996767,77.1318837,"circle, Malavalli Kanakpura main road, circle, Hadli",39.16,Ramanagara Plant,Ramanagara-Kanakapura Region,5.0,4,,OPERATIONAL,3000,45000,10.0,9,No,No
Google Places,GOOGLE_ChIJz0S3btkDrzsRllOQawKZL6A,ChIJz0S3btkDrzsRllOQawKZL6A,Sri Basaveswara Hotel,restaurant,HoReCa,12.399634,77.1330863,"Jattipalla - Kanakapura Road, Circle, Hadli",39.12,Ramanagara Plant,Ramanagara-Kanakapura Region,4.1,91,1,OPERATIONAL,3000,45000,9.5,9,No,No
Google Places,GOOGLE_ChIJLXW3BQADrzsRgvKC6-v7s_c,ChIJLXW3BQADrzsRgvKC6-v7s_c,Sri basweshwara bakery and sweets,restaurant,HoReCa,12.3996301,77.1330906,"94XM+V65, Gowdagere",39.12,Ramanagara Plant,Ramanagara-Kanakapura Region,4.0,1,,OPERATIONAL,3000,45000,9.5,9,No,No
Google Places,GOOGLE_ChIJRSOz9N4DrzsRKAT9_JFxLy0,ChIJRSOz9N4DrzsRKAT9_JFxLy0,Green House Restaurant,restaurant,HoReCa,12.3998605,77.1286829,,39.29,Ramanagara Plant,Ramanagara-Kanakapura Region,3.8,376,,OPERATIONAL,3000,45000,9.4,9,No,No
Google Places,GOOGLE_ChIJV2omcdkDrzsRZ-o3t8bGh5s,ChIJV2omcdkDrzsRZ-o3t8bGh5s,TAJ BIRYANI HOTEL,restaurant,HoReCa,12.3995884,77.1337242,India,39.09,Ramanagara Plant,Ramanagara-Kanakapura Region,0.0,0,,CLOSED_TEMPORARILY,3000,45000,9.0,9,No,No
Google Places,GOOGLE_ChIJdZICTCgDrzsRjB2uqnS4rHk,ChIJdZICTCgDrzsRjB2uqnS4rHk,FISH KABAB CENTER MR SIDDARAJU,restaurant,HoReCa,12.3996039,77.13432569999999,"SHOP NUMBER 387 BUILDING, near to BUS STOP, 012 B, M ROAD, Hadli",39.06,Ramanagara Plant,Ramanagara-Kanakapura Region,0.0,0,,CLOSED_TEMPORARILY,3000,45000,9.0,9,No,No
Google Places,GOOGLE_ChIJv7zHnNkDrzsRr3cBnEe7eGA,ChIJv7zHnNkDrzsRr3cBnEe7eGA,Sri Vinayaka Hotel,restaurant,HoReCa,12.3994805,77.1343425,"94XM+QPW, Jattipalla - Kanakapura Road, Hadli",39.08,Ramanagara Plant,Ramanagara-Kanakapura Region,3.6,258,,OPERATIONAL,3000,45000,9.4,9,No,No
Google Places,GOOGLE_ChIJWZL79-gDrzsRnU0CvrUVt9E,ChIJWZL79-gDrzsRnU0CvrUVt9E,Mathrushri Panipuri center,restaurant,HoReCa,12.3989529,77.13156,"94XJ+HJM, Megalapura",39.25,Ramanagara Plant,Ramanagara-Kanakapura Region,5.0,4,,OPERATIONAL,3000,45000,10.0,9,No,No
Google Places,GOOGLE_ChIJidXMXb4DrzsRfviP6kS3B7I,ChIJidXMXb4DrzsRfviP6kS3B7I,Anil Pani Pure,restaurant,HoReCa,12.3992912,77.138438,"Road, Gete, Kodipura",38.92,Ramanagara Plant,Ramanagara-Kanakapura Region,0.0,0,,OPERATIONAL,3000,45000,9.0,9,No,No
Google Places,GOOGLE_ChIJQw9iaAsDrzsRA2TDROMtQ6Y,ChIJQw9iaAsDrzsRA2TDROMtQ6Y,Chikku farm inn mavalli,restaurant,HoReCa,12.3999972,77.1401542,"94XR+X3R, Jattipalla - Kanakapura Road, Nadakalapura",38.77,Ramanagara Plant,Ramanagara-Kanakapura Region,3.7,18,,OPERATIONAL,3000,45000,9.0,9,No,No
