source,business_id,place_id,name,channel,business_category,distributor_type,is_distributor,distributor_potential,is_chain,address,latitude,longitude,phone_number,international_phone,website,business_status,rating,user_ratings_total,distance_from_plant_km,priority_score,estimated_monthly_water_liters,estimated_monthly_water_revenue,google_maps_url,crawled_at,plant,bearing,direction,distance_band,zone,cluster,has_phone,sales_officer,officer_mobile,cluster_id,distance_range,sector
Google Places API,GOOGLE_ChIJQ8JzvldbrjsRc1vfxHOsano,ChIJQ8JzvldbrjsRc1vfxHOsano,Hunuman Departmental Store,department_store,Retail,Retailer,No,High,No,"MFJ9+693, Siddapura Bidadi Road, Harohalli",12.6805221,77.4684077,076767 23343,+91 76767 23343,Not Available,CLOSED_TEMPORARILY,5,1,2.81,16,6000,3000,https://www.google.com/maps/place/?q=place_id:ChIJQ8JzvldbrjsRc1vfxHOsano,2025-10-25 12:53:55,Harohalli,87.7640994,East,Inner,,Cluster4,Yes,Khadeer ali,9008436667,Cluster4,0-10 KM,4
Google Places API,GOOGLE_ChIJcTngCQBFrjsRaTdnKfXtZQ8,ChIJcTngCQBFrjsRaTdnKfXtZQ8,"THAMMAIAHNNA PROVISION STORE, ANNAHALLI",shopping_mall,Retail,Retailer,No,Very High,No,"P92M+7C8, Mudawadi road, Annahalli",12.7006635,77.3835791,Not Available,Not Available,Not Available,OPERATIONAL,5,1,6.81,16,10000,5000,https://www.google.com/maps/place/?q=place_id:ChIJcTngCQBFrjsRaTdnKfXtZQ8,2025-10-25 12:54:52,Harohalli,290.1705324,West,Inner,,Cluster12,No,Vacant,,Cluster12,0-10 KM,12
Google Places API,GOOGLE_ChIJWZbW6ldbrjsR4biyS_G24gw,ChIJWZbW6ldbrjsR4biyS_G24gw,"MK Enterprices, Apna CSC Center Harohalli",shopping_mall,Retail,Retailer,No,Very High,No,"MFJ9+4GW, Siddapura Bidadi Road, Harohalli",12.6803517,77.4688235,099866 06830,+91 99866 06830,Not Available,OPERATIONAL,5,3,2.85,16,10000,5000,https://www.google.com/maps/place/?q=place_id:ChIJWZbW6ldbrjsR4biyS_G24gw,2025-10-25 12:54:53,Harohalli,88.17973937,East,Inner,,Cluster4,Yes,Khadeer ali,9008436667,Cluster4,0-10 KM,4
Google Places API,GOOGLE_ChIJ32swS6NDrjsRWO_kzj0pAGQ,ChIJ32swS6NDrjsRWO_kzj0pAGQ,Ravugodlu Milk Dairy,supermarket,Retail,Retailer,No,High,No,"77, Ravagodlu, ಕಗ್ಗಲೀಪುರ, ರಾವುಗೋಡ್ಲು",12.7479267,77.4976664,094820 14323,+91 94820 14323,Not Available,OPERATIONAL,4.1,34,9.67,15.5,5000,2500,https://www.google.com/maps/place/?q=place_id:ChIJ32swS6NDrjsRWO_kzj0pAGQ,2025-10-25 12:36:21,Harohalli,38.16863968,NorthEast,Inner,,Cluster2,Yes,Khadeer ali,9008436667,Cluster2,0-10 KM,2
Google Places API,GOOGLE_ChIJ292qWCRbrjsRmoUHxB3Wl-0,ChIJ292qWCRbrjsRmoUHxB3Wl-0,Byraveswara Complex,shopping_mall,Retail,Retailer,No,Very High,No,"MCFM+95F, Ramanagara",12.6734368,77.4329153,990188417,+91 990188417,Not Available,OPERATIONAL,4.4,21,1.25,15.5,10000,5000,https://www.google.com/maps/place/?q=place_id:ChIJ292qWCRbrjsRmoUHxB3Wl-0,2025-10-25 12:54:53,Harohalli,237.006421,SouthWest,Inner,,Cluster10,Yes,Vinod Kumar KJ,7483749862,Cluster10,0-10 KM,10
Google Places API,GOOGLE_ChIJ1xtACQBbrjsRghvn0WU4-XQ,ChIJ1xtACQBbrjsRghvn0WU4-XQ,"Siddaramaiah.Chikkamallaiah.Majigowda,Puttamasthigowda Buildings",shopping_mall,Retail,Retailer,No,Very High,No,"MFJ9+8C2, Harohalli",12.6807578,77.4685026,Not Available,Not Available,Not Available,OPERATIONAL,4,1,2.82,15.5,10000,5000,https://www.google.com/maps/place/?q=place_id:ChIJ1xtACQBbrjsRghvn0WU4-XQ,2025-10-25 12:54:53,Harohalli,87.23994183,East,Inner,,Cluster4,No,Khadeer ali,9008436667,Cluster4,0-10 KM,4
Google Places API,GOOGLE_ChIJVxVw_ldbrjsRufAj1mDbFXU,ChIJVxVw_ldbrjsRufAj1mDbFXU,Sri Chamundiswari Shop,shopping_mall,Retail,Retailer,No,Very High,No,"55 1, St Main 2nd Cross, Harohalli",12.6793607,77.4699932,080503 39204,+91 80503 39204,Not Available,OPERATIONAL,4,2,2.98,15.5,10000,5000,https://www.google.com/maps/place/?q=place_id:ChIJVxVw_ldbrjsRufAj1mDbFXU,2025-10-25 12:54:53,Harohalli,90.37700852,East,Inner,,Cluster4,Yes,Khadeer ali,9008436667,Cluster4,0-10 KM,4
Google Places API,GOOGLE_ChIJE36oGiFdrjsRqvebzKIzt84,ChIJE36oGiFdrjsRqvebzKIzt84,Madhur Milan Trends,shopping_mall,Retail,Retailer,No,Very High,No,"opposite to IIFL finance, near Appu Ambur Hot briyani, Bengaluru - Kanakapura Road, Harohalli",12.6824276,77.470331,Not Available,Not Available,Not Available,OPERATIONAL,4.2,79,3.03,15.5,10000,5000,https://www.google.com/maps/place/?q=place_id:ChIJE36oGiFdrjsRqvebzKIzt84,2025-10-25 12:54:53,Harohalli,83.91256954,East,Inner,,Cluster4,No,Khadeer ali,9008436667,Cluster4,0-10 KM,4
Google Places API,GOOGLE_ChIJKXUZfKlErjsRuLbGi0QdmeU,ChIJKXUZfKlErjsRuLbGi0QdmeU,Mudenahalli Milk Diary,shopping_mall,Retail,Retailer,No,Very High,No,"MFW8+FQ4, Harohalli Road, Mudenahalli",12.6961408,77.466956,Not Available,Not Available,Not Available,OPERATIONAL,4.3,6,3.23,15.5,10000,5000,https://www.google.com/maps/place/?q=place_id:ChIJKXUZfKlErjsRuLbGi0QdmeU,2025-10-25 12:54:54,Harohalli,55.11239311,NorthEast,Inner,,Cluster3,No,Khadeer ali,9008436667,Cluster3,0-10 KM,3
Google Places API,GOOGLE_ChIJUSgZWuJFrjsRwES03llNsJs,ChIJUSgZWuJFrjsRwES03llNsJs,Hucchamanadaddi,shopping_mall,Retail,Retailer,No,Very High,No,"P97R+GF8, Bennahalli",12.7137941,77.3911995,080958 28784,+91 80958 28784,Not Available,OPERATIONAL,4.4,16,6.75,15.5,10000,5000,https://www.google.com/maps/place/?q=place_id:ChIJUSgZWuJFrjsRwES03llNsJs,2025-10-25 12:54:59,Harohalli,304.3719982,NorthWest,Inner,,Cluster12,Yes,Vacant,,Cluster12,0-10 KM,12
